index,age,elimination,first_name,hometown,name,name_abbreviation,occupation,season
18,27,2,Joe,"Orlando, Florida",Joe Gendreau  ,Joe G.,Field Energy Adviser,8
19,41,1,Brent,"Midland, Texas",Brent Richter ,Brent R.,Technology Salesman,8
20,33,1,David,"Charlottesville, Virginia",David Homyk  ,David H.,Singer/Songwriter,8
21,29,1,Jackson,"Lockport, Illinois",Jackson Longnecker ,Jackson L.,Fitness Model,8
22,35,1,Jean-Paul,"Moraga, California",Jean-Paul LaCount ,Jean-Paul L.,Marine Biologist,8
23,29,1,Lerone,"Laguna Beach, California",Lerone Anu  ,Lerone A.,Real Estate Consultant,8
24,30,1,Randy,"Oak Creek, Wisconsin",Randy Lee Woyak ,Randy W.,Marketing Manager,8
0,27,Winner,Chris,"McMinnville, Oregon",Chris Siegfried ,Chris S.,Mortgage Broker,9
1,27,Runner-up,Drew,"Scottsdale, Arizona",Drew Kenney ,Drew K.,Digital Marketing Analyst,9
2,28,9,Brooks,"Blackfoot, Idaho",Brooks Forester ,Brooks F.,Sales & Marketing,9
3,31,8,Zak,"Dallas, Texas",Zak Waddell ,Zak W.,Drilling Fluid Engineer,9
4,33,7,Michael,"Lindenhurst, New York",Michael Garofola ,Michael G.,Federal Prosecutor,9
5,27,6,James,"Marietta, Georgia",James Case  ,James C.,Advertising Executive,9
6,31,6,Juan,"Barquisimeto, Venezuela",Juan Pablo Galavis ,Juan G.,Former Pro Soccer Player,9
7,29,6,Kasey,"Tulsa, Oklahoma",Kasey Stewart ,Kasey S.,Advertising Executive,9
8,30,5,Mikey,"Glen Ellyn, Illinois",Mikey Tenerelli  ,Mikey T.,Plumbing Contractor,9
9,28,5,Ben,"Lubbock, Texas",Ben Scott ,Ben S.,Entrepreneur,9
10,26,5,Bryden,"Havre, Montana",Bryden Vukasin ,Bryden V.,Iraq War Veteran,9
11,28,4,Zack,"Phillips Ranch, California",Zack Kalter ,Zack K.,Book Publisher,9
12,27,4,Brad,"Denver, Colorado",Brad McKinzie ,Brad M.,Accountant/DJ,9
13,26,3,Brandon,"Blaine, Minnesota",Brandon Andreen ,Brandon A.,Painting Contractor,9
14,30,3,Dan,"Dublin, California",Dan Cox ,Dan C.,Beverage Sales Director,9
15,29,3,Brian,"Olney, Maryland",Brian Jarosinski  ,Brian J.,Financial Advisor,9
16,27,2,Nick,"Rochester, New York",Nick Mucci ,Nick M.,Investment Adviser,9
17,30,2,Robert,"Glendale, Arizona",Robert Graham ,Robert G.,Advertising Entrepreneur,9
18,28,2,Will,"Federal Way, Washington",Will Reese ,Will R.,Banker,9
19,29,1,Diogo,"Penha, Brazil",Diogo Custodio,Diogo C.,Ski Resort Manager,9
20,34,1,Larry,"Overland Park, Kansas",Larry Burchett ,Larry B.,ER Doctor,9
